id,name,image_url
Q8_1,Michael Bennet,images/MichaelBennet.jpg
Q8_2,Joe Biden,images/JoeBiden.jpg
Q8_3,Cory Booker,images/CoryBooker.jpg
Q8_4,Steve Bullock,images/SteveBullock.jpg
Q8_5,Pete Buttigieg,images/PeteButtigieg.jpg
Q8_6,Julián Castro,images/JulianCastro.jpg
Q8_7,Bill de Blasio,images/BilldeBlasio.jpg
Q8_8,John Delaney,images/JohnDelaney.jpg
Q8_9,Tulsi Gabbard,images/TulsiGabbard.jpg
Q8_11,Kamala Harris,images/KamalaHarris.jpg
Q8_12,Amy Klobuchar,images/AmyKlobuchar.jpg
Q8_13,Wayne Messam,images/WayneMessam.jpg
Q8_14,Beto O'Rourke,images/BetoORourke.jpg
Q8_15,Tim Ryan,images/TimRyan.jpg
Q8_16,Bernie Sanders,images/BernieSanders.jpg
Q8_17,Joe Sestak,images/JoeSestak.jpg
Q8_18,Tom Steyer,images/TomSteyer.jpg
Q8_19,Elizabeth Warren,images/ElizabethWarren.jpg
Q8_20,Marianne Williamson,images/MarianneWilliamson.jpg
Q8_21,Andrew Yang,images/AndrewYang.jpg
X997,,
X998,,
